Name,Age,City,Grade,Gender,Note
Sagar,21.0,Mumbai,A,male,good student
Arjun,20.0,Bengaluru,A,female,needs help
Yash,22.0,Dehli,A,Male,excelelnt
Neha,,pune,B,Male,average
Yash,19.0,PNE,B,Female,late submitter
Yash,,Mumbai,A,F,excellent
Ishita,24.0,BENGALURU,A,Male,needs help
Sagar,22.0,Hyderabad,B,male,late submitter
Sagar,19.0,Delhi,A,Female,late submitter
Sagar,21.0,Delhi,B,Male,good student
Ananya,19.0,uPne,A,M,late submitter
Arjun,19.0,BENGALURU,A,Female,excellent
Pooja,,Mumbai,,M,needsh elp
Aditi,16.0,BENGALUU,A,f,excellent
Kiran,,Hyderabad,C,female,needs help
Pooja,19.0,Pune,A,M,good student
Raj,17.0,pune,A,Female,excellent
Ishita,21.0,eBngaluru,B,M,late submitter
Arjun,,Mumbai,,male,good student
Neha,16.0,BENGALURU,B,Male,average
Aditi,24.0,MUBMAI,A,Male,needs help
Arjun,19.0,Dehi,B,male,good student
Ishita,20.0,Bengaluru,A,Female,goods tudent
Mohit,,Mumabi,A,M,needs help
Yash,19.0,Bengaluru,,Male,needs help
Yash,20.0,Begaluru,C,male,average
Kiran,17.0,Pune,,M,average
Raj,21.0,Pune,A,Female,late submitter
Mohit,18.0,Mumbai,C,Female,excellent
Arjun,19.0,Mumbai,A,male,average
Sagar,18.0,Mumbai,B,Female,excellent
Riya,25.0,Bengaluru,B,Female,needs help
Ishita,20.0,pune,B,F,good studnt
Aditi,17.0,Hyderabad,A,M,good student
Raj,22.0,Pune,B,Male,late submitter
Neha,17.0,Delhi,C,Female,excellent
Raj,21.0,DELHI,B,Male,late sbumitter
Ishita,,Pune,B,Male,late submitter
Mohit,,Bengaluru,A,Female,late submitter
Pooja,20.0,Pune,A,Male,late submitter
Kiran,,EBNGALURU,B,Male,excellent
Kiran,20.0,Dlhi,B,Male,needs help
Neha,20.0,Pune,,Female,late submitter
Ishita,19.0,Mumbai,B,Female,good student
Sagar,16.0,Pune,A,Male,verage
Kiran,18.0,Hyderabad,A,F,average
Arjun,19.0,hyderabad,A,Female,excellent
Sagar,23.0,HYDERABAD,A,Female,average
Arjun,21.0,Pune,A,female,average
Ishita,16.0,Pune,A,Female,average
Aditi,21.0,Pune,A,Female,late submitter
Aditi,19.0,pune,A,Male,needs help
Pooja,18.0,mumbai,C,Female,good student
Aditi,,bengaluru,B,Male,late submitter
Raj,23.0,Bengaluru,A,Male,needs help
Ananya,22.0,Mumbia,,M,excellent
Sagar,18.0,Bengaluru,B,female,needs help
Neha,19.0,Bengaluru,C,Female,good student
Kiran,,Delhi,B,Male,average
Riya,22.0,Hyderabad,B,Female,excellent
Sagar,19.0,Mumbai,C,Male,averag
Arjun,20.0,Mumabi,B,M,average
Ishita,17.0,yHderabad,A,M,good student
Aditi,17.0,Pune,A,F,excellent
Neha,,Bengaluru,,Female,good student
Ananya,23.0,Bengaluru,B,Female,excellent
Raj,20.0,Pun,B,male,late submitter
Yash,23.0,Mumbai,C,Female,good student
Ananya,21.0,Delhi,,Female,excellent
Mohit,18.0,Bengaluru,A,Female,good student
Ishita,,delhi,C,Male,needs help
Aditi,24.0,BENGALURU,C,Female,excellent
Sagar,20.0,Bengaluru,A,Female,average
Kiran,24.0,Hyderabad,A,Male,averag
Ishita,16.0,Mumbai,C,Male,needs help
Sagar,22.0,Pune,B,female,average
Kiran,20.0,Pune,A,Female,excellent
Ananya,19.0,Delhi,,Female,avreage
Arjun,20.0,Mumbai,A,F,good student
Arjun,16.0,Delhi,,female,good student
Ananya,19.0,Hyderabad,A,Female,excellent
Pooja,21.0,Bengaluru,,male,average
Sagar,24.0,Delhi,A,Male,late submitter
Mohit,,Dlhi,A,male,lae submitter
Riya,18.0,Benagluru,A,m,excellent
Ishita,19.0,Mumbi,A,Female,good student
Kiran,22.0,HYEDRABAD,B,Female,average
Neha,21.0,Hyderabad,A,Male,excellent
Pooja,,hyderabad,A,F,good student
Ishita,21.0,delhi,B,Female,excellent
Ishita,20.0,Mumbai,C,f,late submitter
Ananya,22.0,Bengaluru,A,Male,avreage
Yash,18.0,Delhi,A,M,excellent
Yash,19.0,pune,A,M,good student
Sagar,19.0,HYDERABAD,A,Male,excellent
Ananya,16.0,Mmbai,,female,excellent
Kiran,21.0,Bengaluru,B,Male,good student
Neha,21.0,Hyderbaad,B,Female,good student
Aditi,20.0,Pune,,Male,late submitter
Arjun,19.0,Bengaluru,A,m,needs help
Riya,16.0,Mumbai,A,Female,late submitter
Sagar,,delhi,A,Female,excellent
Aditi,19.0,Mumbai,B,Male,needs help
Pooja,,Bengaluru,,Male,needs help
Pooja,20.0,Bengaluru,B,female,averaeg
Kiran,21.0,delhi,A,Male,ecellent
Ananya,25.0,Bengaluru,A,Male,aevrage
Yash,20.0,Hyderabad,A,Male,laet submitter
Riya,21.0,Bengaluru,B,Male,excellent
Raj,20.0,Delh,C,Female,late submitter
Riya,,Pune,B,Male,good student
Riya,20.0,Deli,A,Male,average
Aditi,20.0,delhi,,M,excellent
Riya,,Hyderabad,,F,averaeg
Neha,20.0,Hyderabad,A,Male,good student
Raj,21.0,Bengaluru,,Male,excellent
Ananya,,Mumbai,A,F,average
Riya,17.0,hyderabd,C,Male,average
Arjun,23.0,HYDERABAD,C,Male,good student
Kiran,22.0,Hyderabad,B,Female,average
Sagar,16.0,Pune,A,Male,verage
Sagar,23.0,HYDERABAD,A,Female,average
Yash,19.0,PNE,B,Female,late submitter
Ananya,22.0,Mumbia,,M,excellent
Kiran,17.0,Pune,,M,average
